No.,자료명,저자,출판사,출판년도,총서명,총서번호
1,2015 KOTRA 세계시장 진출전략 설명회,KOTRA 정부3.0추진팀,KOTRA,2015,설명회자료,15-001
2,2015 글로벌 투자유치전략 설명회,KOTRA Invest Korea 투자정보팀,KOTRA Invest Korea,2015,설명회자료,15-002
3,2015 주요 전략시장 긴급점검 설명회,KOTRA 신흥시장팀,KOTRA,2015,설명회자료,15-003
4,2015 달라지는 FTA 환경과 우리기업 대응전략,KOTRA 통상지원총괄팀,KOTRA,2015,설명회자료,15-004
5,코트라 해외수주협의회 제18차 수요포럼,KOTRA 프로젝트총괄팀,KOTRA,2015,설명회자료,15-005
6,한류스타-중소기업 융합 해외마케팅 사업설명회,KOTRA 지식서비스사업단,KOTRA,2015,설명회자료,15-006
7,강원도 우량기업·외투기업 투자마케팅 협력상담회,KOTRA Invest Korea 전략지역유치팀,KOTRA Invest Korea,2015,설명회자료,15-007
8,한류스타-중소기업 융합 해외마케팅 설명회,KOTRA 지식서비스사업단,KOTRA,2015,설명회자료,15-008
9,코트라 해외수주협의회 제19차 수요포럼,KOTRA 건설플랜트사업팀,KOTRA,2015,설명회자료,15-009
10,한-중 FTA 활용방안 설명회,KOTRA 중국사업단,"KOTRA, 한국무역협회 (KITA) 차이나데스크",2015,설명회자료,15-010
11,2015 세계 주요시장 수출전략 설명회 : 지사화 전담직원 방한교육 연계,KOTRA 수출유망기업팀,KOTRA,2015,설명회자료,15-011
12,"3中(중동,중남미,중국), 3戰(이란,멕시코,중국내륙) 시장 설명회",KOTRA 신흥시장팀,KOTRA,2015,설명회자료,15-012
13,Global Online Biz-Week Korea 2015 Business Forum,KOTRA 일류화사업팀,KOTRA,2015,설명회자료,15-013
14,인도 자동차 부품 시장 진출 기회,KOTRA 호남권지원단,KOTRA,2015,설명회자료,15-014
15,Global Project Plaza 2015,KOTRA 건설플랜트사업팀,KOTRA,2015,설명회자료,15-015
16,글로벌 가치사슬과 FTA 활용전략 세미나,KOTRA 선진시장팀,KOTRA,2015,설명회자료,15-016
17,해외진출氣UP 지원 설명회 : 국내(U턴) 또는 제 3국(P턴) 으로의 해외 사업장 이전 전략,KOTRA 해외투자지원단,KOTRA,2015,설명회자료,15-017
18,2015 에콰도르 투자 설명회,KOTRA 구미팀,KOTRA,2015,설명회자료,15-018
19,2015 Global Bio Medical Forum : Overseas Hospital Project Presentation,KOTRA 의료바이오팀,KOTRA,2015,설명회자료,15-019
20,동유럽 의료기기 진출전략 설명회,KOTRA 구미팀,KOTRA,2015,설명회자료,15-020
21,세계 주요시장 진출전략 설명회,KOTRA 유망기업지원팀,KOTRA,2015,설명회자료,15-021
22,주력시장 긴급점검 설명회,KOTRA 아대양주팀,KOTRA,2015,설명회자료,15-022
23,MDB·Global Development Fund Project Plaza 2015 = MDB·글로벌개발펀드 프로젝트 플라자,KOTRA 해외프로젝트사업단,KOTRA,2015,설명회자료,15-023
24,쿠바 마리엘 경제특구 투자 설명회,KOTRA 구미팀,KOTRA,2015,설명회자료,15-024
25,"미래 신성장동력, 해외 프로젝트 시장 진단과 전망 : KOTRA 해외수주협의회 창립 5주년 기념 특별포럼",KOTRA 해외프로젝트사업단,KOTRA,2015,설명회자료,15-025
26,한중 FTA 활용 Gateway to China 설명회,KOTRA Invest Korea 전략지역유치팀,KOTRA Invest Korea,2015,설명회자료,15-026
27,對韓투자 중국시장 진출을 위한 첩경,KOTRA Invest Korea 전략지역유치팀,KOTRA Invest Korea,2015,설명회자료,15-027
28,Regional Development Investment Forum,KOTRA Invest Korea 서비스금융산업유치팀,KOTRA Invest Korea,2015,설명회자료,15-028
29,제12회 외국인투자 전문가 포럼 : FTA를 활용한 외국인 투자 활성화 방안 = The 12th Korea FDI Forum: Promoting FDI via FTAs,KOTRA Invest Korea 투자정보팀,KOTRA Invest Korea,2015,설명회자료,15-029
30,Open Innovation Opportunities with Korea,KOTRA 제조업유치팀,KOTRA,2015,설명회자료,15-030
31,FIW 2015 Startup Korea,KOTRA Invest Korea 서비스금융산업유치팀,KOTRA Invest Korea,2015,설명회자료,15-031
32,8th Korea-Africa Industry Cooperation Forum,KOTRA 해외프로젝트사업단,KOTRA,2015,설명회자료,15-032
33,한류 융합 해외마케팅 설명회,KOTRA 서비스산업팀,KOTRA,2015,설명회자료,15-033
34,Workshop for Defense Attache in Korea,KOTRA 수출계약팀,KOTRA,2015,설명회자료,15-034
35,SABIC-GAPS Launching Conference : 16th Global Alliance Project,KOTRA Invest Korea 제조업유치팀,KOTRA Invest Korea,2015,설명회자료,15-035
36,新수출먹거리 G2G 민관협력 세미나,KOTRA GtoG교역지원단,KOTRA,2015,설명회자료,15-036
37,중앙아시아·이란 진출 설명회,KOTRA 중아CIS팀,KOTRA,2015,설명회자료,15-037
38,2015 케냐 투자진출 세미나,KOTRA 개발협력팀,KOTRA,2015,설명회자료,15-038
39,AIIB 출범에 따른 아시아 인프라 시장 진출 활대 방안 : KOTRA 해외수주협의회 제22차 송년수요포럼,KOTRA 해외프로젝트사업단,KOTRA,2015,설명회자료,15-039
40,해외투자 유공자 포상식 및 성공전략 워크숍,KOTRA 해외투자지원단,KOTRA,2015,설명회자료,15-040
41,극동러시아 투자진출 세미나,KOTRA 개발협력팀,KOTRA,2015,설명회자료,15-041
42,수출 10대 기회국가 진출전략 설명회,KOTRA 통상전략팀,KOTRA,2015,설명회자료,15-042
43,경제외교활용 신흥국 프로젝트 진출 설명회 (디지털자료),KOTRA 투자지원팀,KOTRA,2015,설명회자료,15-043
44,GVC를 활용한 투자유치 타겟팅 전략 워크샵,KOTRA Invest Korea 투자정보팀,KOTRA Invest Korea,2015,설명회자료,15-044
45,제2회 국내복귀 PM 워크숍 : 국내복귀 유공자 포상식 및 PM 임명식,KOTRA 해외투자지원단,KOTRA,2015,설명회자료,15-045
46,2016 중국경제전망 및 한중FTA활용방안 세미나 (디지털자료),KOTRA 상하이 무역관,KOTRA,2015,설명회자료,15-046
